Nº_boletim;data_boletim; Nº_municipio;nome_municipio;seq_logradouros;Nº_logradouro;tipo_logradouro;nome_logradouro;tipo_logradouro_anterior;nome_logradouro_anterior;Nº_bairro;nome_bairro;tipo_bairro;descricao_tipo_bairro;Nº_imovel;Nº_imovel_proximo
2020-019289133-001;23/04/2020 04:34;1;BELO HORIZONTE                ;1;62635;RUA;PASTOR BELMIRO AMORIM                             ;RUA;SAO GERALDO                                       ;1480;VILA VISTA ALEGRE                                 ;V ;VILA                          ;175;0
2020-049381400-001;12/10/2020 14:14;1;BELO HORIZONTE                ;2;62691;RUA;SAO GOTARDO                                       ;NI ;N?O INFORMADO                                     ;774;SANTA TEREZA                                      ;B ;BAIRRO                        ;0;0
2020-019153343-001;22/04/2020 11:41;1;BELO HORIZONTE                ;2;62708;RUA;ALCOBACA                                          ;RUA;SAO GREGORIO                                      ;782;SAO FRANCISCO                                     ;V ;VILA                          ;0;0
2020-038616151-001;11/08/2020 15:40;1;BELO HORIZONTE                ;1;62837;RUA;SAO JOAO DA LAGOA                                 ;NI ;N?O INFORMADO                                     ;829;SANTA BRANCA                                      ;B ;BAIRRO                        ;330;0
2020-036695682-001;31/07/2020 09:47;1;BELO HORIZONTE                ;2;62837;RUA;SAO JOAO DA LAGOA                                 ;NI ;N?O INFORMADO                                     ;829;SANTA BRANCA                                      ;B ;BAIRRO                        ;0;0
2020-007263054-001;11/02/2020 13:16;1;BELO HORIZONTE                ;1;62865;RUA;SAO JOAO EVANGELISTA                              ;RUA;COLOMBIA                                          ;778;SANTO ANTONIO                                     ;B ;BAIRRO                        ;510;0
2020-025457340-001;28/05/2020 19:11;1;BELO HORIZONTE                ;2;62865;RUA;SAO JOAO EVANGELISTA                              ;RUA;COLOMBIA                                          ;778;SANTO ANTONIO                                     ;B ;BAIRRO                        ;0;0
2020-030595009-001;26/06/2020 06:39;1;BELO HORIZONTE                ;1;62865;RUA;SAO JOAO EVANGELISTA                              ;RUA;COLOMBIA                                          ;778;SANTO ANTONIO                                     ;B ;BAIRRO                        ;0;0
2020-060576010-001;17/12/2020 11:30;1;BELO HORIZONTE                ;2;62981;RUA;SAO JORGE                                         ;RUA;RENASCENCA                                        ;636;CARLOS PRATES                                     ;B ;BAIRRO                        ;0;0
2020-045793364-001;21/09/2020 17:10;1;BELO HORIZONTE                ;1;63032;RUA;JOAO DE PAULA                                     ;RUA;SAO JOSE                                          ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;195;0
2021-006735550-001;05/12/2020 10:00;1;BELO HORIZONTE                ;2;63190;RUA;SAO JUDAS TADEU                                   ;NI ;N?O INFORMADO                                     ;759;RIBEIRO DE ABREU                                  ;B ;BAIRRO                        ;0;0
2020-001036146-001;06/01/2020 16:00;1;BELO HORIZONTE                ;1;63219;RUA;SAO LAZARO                                        ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-013408410-001;15/03/2020 23:04;1;BELO HORIZONTE                ;2;63219;RUA;SAO LAZARO                                        ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-050904091-001;21/10/2020 08:31;1;BELO HORIZONTE                ;2;63219;RUA;SAO LAZARO                                        ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-040752515-001;23/08/2020 20:50;1;BELO HORIZONTE                ;1;63219;RUA;SAO LAZARO                                        ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-040356637-001;20/08/2020 12:50;1;BELO HORIZONTE                ;1;63219;RUA;SAO LAZARO                                        ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;388;0
2020-028803499-001;16/06/2020 12:50;1;BELO HORIZONTE                ;1;63219;RUA;SAO LAZARO                                        ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-028966043-001;17/06/2020 10:34;1;BELO HORIZONTE                ;2;63275;RUA;SAO LUIZ                                          ;RUA;SAO ROQUE                                         ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-049602636-001;13/10/2020 17:42;1;BELO HORIZONTE                ;2;63290;RUA;SAO LUIZ GONZAGA                                  ;NI ;N?O INFORMADO                                     ;698;IPIRANGA                                          ;B ;BAIRRO                        ;0;0
2020-046974697-001;28/09/2020 11:35;1;BELO HORIZONTE                ;1;63290;RUA;SAO LUIZ GONZAGA                                  ;NI ;N?O INFORMADO                                     ;698;IPIRANGA                                          ;B ;BAIRRO                        ;0;0
2020-061872663-001;24/12/2020 23:40;1;BELO HORIZONTE                ;2;63348;RUA;CIRILO GASPAR DE ARAUJO                           ;RUA;SAO MANOEL                                        ;821;APARECIDA SETIMA SECAO                            ;B ;BAIRRO                        ;0;0
2020-036107609-001;27/07/2020 20:05;1;BELO HORIZONTE                ;1;63348;RUA;CIRILO GASPAR DE ARAUJO                           ;RUA;SAO MANOEL                                        ;821;APARECIDA SETIMA SECAO                            ;B ;BAIRRO                        ;0;0
2020-027750984-001;10/06/2020 12:07;1;BELO HORIZONTE                ;1;63348;RUA;CIRILO GASPAR DE ARAUJO                           ;RUA;SAO MANOEL                                        ;821;APARECIDA SETIMA SECAO                            ;B ;BAIRRO                        ;375;0
2020-045289590-001;18/09/2020 15:30;1;BELO HORIZONTE                ;1;63348;RUA;CIRILO GASPAR DE ARAUJO                           ;RUA;SAO MANOEL                                        ;821;APARECIDA SETIMA SECAO                            ;B ;BAIRRO                        ;0;0
2020-013589167-001;16/03/2020 20:28;1;BELO HORIZONTE                ;1;63350;RUA;SUMARE                                            ;RUA;TRES MIL QUATROCENTOS E OITENTA NOVE              ;1473;VILA SUMARE                                       ;V ;VILA                          ;0;0
2020-025740417-001;30/05/2020 15:13;1;BELO HORIZONTE                ;2;60973;RUA;PADRE LEOPOLDO MERTENS                            ;RUA;MINHO                                             ;782;SAO FRANCISCO                                     ;V ;VILA                          ;0;0
2020-016842688-001;07/04/2020 20:20;1;BELO HORIZONTE                ;2;60973;RUA;PADRE LEOPOLDO MERTENS                            ;RUA;MINHO                                             ;782;SAO FRANCISCO                                     ;V ;VILA                          ;0;0
2020-001268837-001;08/01/2020 18:20;1;BELO HORIZONTE                ;2;61100;RUA;CALDAS DA RAINHA                                  ;RUA;SANTA MARTA                                       ;782;SAO FRANCISCO                                     ;V ;VILA                          ;0;0
2020-031090488-001;29/06/2020 08:43;1;BELO HORIZONTE                ;1;61100;RUA;CALDAS DA RAINHA                                  ;RUA;SANTA MARTA                                       ;782;SAO FRANCISCO                                     ;V ;VILA                          ;0;0
2020-053447303-001;30/10/2020 14:40;1;BELO HORIZONTE                ;1;61100;RUA;CALDAS DA RAINHA                                  ;RUA;SANTA MARTA                                       ;1462;VILA SANTA ROSA                                   ;V ;VILA                          ;111;0
2020-005847722-001;03/02/2020 14:00;1;BELO HORIZONTE                ;1;61140;RUA;DOS PARTIDOS                                      ;RUA;SANTA MONICA                                      ;789;SAO MARCOS                                        ;B ;BAIRRO                        ;488;0
2020-024198848-001;20/05/2020 19:30;1;BELO HORIZONTE                ;1;61140;RUA;DOS PARTIDOS                                      ;RUA;SANTA MONICA                                      ;789;SAO MARCOS                                        ;B ;BAIRRO                        ;420;0
2020-002880614-001;17/01/2020 17:36;1;BELO HORIZONTE                ;2;61270;RUA;SANTA RITA DURAO                                  ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;0;0
2020-015446094-002;29/03/2020 19:28;1;BELO HORIZONTE                ;2;61270;RUA;SANTA RITA DURAO                                  ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;0;0
2020-035703198-001;25/07/2020 11:49;1;BELO HORIZONTE                ;1;61270;RUA;SANTA RITA DURAO                                  ;NI ;N?O INFORMADO                                     ;1133;SAVASSI                                           ;B ;BAIRRO                        ;453;0
2020-048101071-001;04/10/2020 23:24;1;BELO HORIZONTE                ;1;61270;RUA;SANTA RITA DURAO                                  ;NI ;N?O INFORMADO                                     ;1133;SAVASSI                                           ;B ;BAIRRO                        ;0;0
2020-039117318-002;14/08/2020 11:14;1;BELO HORIZONTE                ;2;61270;RUA;SANTA RITA DURAO                                  ;NI ;N?O INFORMADO                                     ;1133;SAVASSI                                           ;B ;BAIRRO                        ;0;0
2020-036789731-001;31/07/2020 19:20;1;BELO HORIZONTE                ;2;61270;RUA;SANTA RITA DURAO                                  ;NI ;N?O INFORMADO                                     ;1133;SAVASSI                                           ;B ;BAIRRO                        ;0;0
2020-059148973-001;09/12/2020 04:10;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-058558466-001;05/12/2020 12:51;1;BELO HORIZONTE                ;1;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;.;0
2020-010874441-001;02/03/2020 07:10;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-003627869-001;22/01/2020 08:02;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-014743666-001;24/03/2020 15:41;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-035633580-001;24/07/2020 21:11;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-024970490-001;26/05/2020 08:15;1;BELO HORIZONTE                ;1;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;561;0
2020-048090719-001;04/10/2020 21:34;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-040844502-001;22/08/2020 02:30;1;BELO HORIZONTE                ;1;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;846;0
2020-047429330-001;30/09/2020 19:45;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-040247655-001;20/08/2020 17:00;1;BELO HORIZONTE                ;1;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-046594937-001;25/09/2020 19:20;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-046240174-001;23/09/2020 22:48;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-039204616-001;14/08/2020 19:19;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-038824189-001;12/08/2020 18:12;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-018096029-001;15/04/2020 22:01;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-037243409-001;03/08/2020 18:03;1;BELO HORIZONTE                ;2;61301;AVE;SANTA ROSA                                        ;AVE;ALESSANDRA SALUM CADAR                            ;641;SAO LUIZ                                          ;B ;BAIRRO                        ;0;0
2020-044260023-001;12/09/2020 22:26;1;BELO HORIZONTE                ;2;61428;RUA;POTENGI                                           ;RUA;SANTA TEREZINHA                                   ;783;SAO GABRIEL                                       ;B ;BAIRRO                        ;0;0
2020-051786690-001;26/10/2020 16:47;1;BELO HORIZONTE                ;2;61443;RUA;SANTA VITORIA                                     ;NI ;N?O INFORMADO                                     ;1493;JARDIM LEBLON                                     ;B ;BAIRRO                        ;0;0
2020-043338925-001;07/09/2020 21:47;1;BELO HORIZONTE                ;1;61443;RUA;SANTA VITORIA                                     ;NI ;N?O INFORMADO                                     ;1493;JARDIM LEBLON                                     ;B ;BAIRRO                        ;150;0
2020-062190129-001;27/12/2020 20:29;1;BELO HORIZONTE                ;2;61484;RUA;SANTAREM                                          ;NI ;N?O INFORMADO                                     ;728;NOVA CINTRA                                       ;B ;BAIRRO                        ;0;0
2020-007927813-001;14/02/2020 13:54;1;BELO HORIZONTE                ;1;61484;RUA;SANTAREM                                          ;NI ;N?O INFORMADO                                     ;728;NOVA CINTRA                                       ;B ;BAIRRO                        ;320;0
2020-014415500-001;22/03/2020 00:32;1;BELO HORIZONTE                ;1;61484;RUA;SANTAREM                                          ;NI ;N?O INFORMADO                                     ;728;NOVA CINTRA                                       ;B ;BAIRRO                        ;0;0
2020-043866244-001;10/09/2020 17:08;1;BELO HORIZONTE                ;2;61484;RUA;SANTAREM                                          ;NI ;N?O INFORMADO                                     ;728;NOVA CINTRA                                       ;B ;BAIRRO                        ;0;0
2020-040486000-001;21/08/2020 21:54;1;BELO HORIZONTE                ;1;61484;RUA;SANTAREM                                          ;NI ;N?O INFORMADO                                     ;728;NOVA CINTRA                                       ;B ;BAIRRO                        ;799;0
2020-045279211-001;25/08/2020 09:10;1;BELO HORIZONTE                ;1;61484;RUA;SANTAREM                                          ;NI ;N?O INFORMADO                                     ;728;NOVA CINTRA                                       ;B ;BAIRRO                        ;5;0
2020-008050203-001;15/02/2020 14:34;1;BELO HORIZONTE                ;2;61557;RUA;SANTO AGOSTINHO                                   ;RUA;SAO JERONIMO                                      ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-050904091-001;21/10/2020 08:31;1;BELO HORIZONTE                ;1;61557;RUA;SANTO AGOSTINHO                                   ;RUA;SAO JERONIMO                                      ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-004584737-001;27/01/2020 17:03;1;BELO HORIZONTE                ;1;61585;RUA;SANTO AMARO                                       ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-013019401-001;13/03/2020 14:50;1;BELO HORIZONTE                ;1;61585;RUA;SANTO AMARO                                       ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-040738894-001;23/08/2020 19:04;1;BELO HORIZONTE                ;1;61585;RUA;SANTO AMARO                                       ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-028966043-001;17/06/2020 10:34;1;BELO HORIZONTE                ;1;61585;RUA;SANTO AMARO                                       ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-033031760-002;10/07/2020 06:03;1;BELO HORIZONTE                ;1;61617;RUA;ALENTEJO                                          ;RUA;SANTO ANTONIO                                     ;782;SAO FRANCISCO                                     ;V ;VILA                          ;1265;0
2020-027754183-002;10/06/2020 16:00;1;BELO HORIZONTE                ;1;61617;RUA;ALENTEJO                                          ;RUA;SANTO ANTONIO                                     ;782;SAO FRANCISCO                                     ;V ;VILA                          ;0;0
2020-057832522-001;01/12/2020 13:48;1;BELO HORIZONTE                ;1;61645;RUA;SANTO ANTONIO                                     ;NI ;N?O INFORMADO                                     ;810;VENDA NOVA                                        ;B ;BAIRRO                        ;50;0
2020-040462158-001;21/08/2020 20:18;1;BELO HORIZONTE                ;2;61645;RUA;SANTO ANTONIO                                     ;NI ;N?O INFORMADO                                     ;810;VENDA NOVA                                        ;B ;BAIRRO                        ;0;0
2020-025457340-001;28/05/2020 19:11;1;BELO HORIZONTE                ;1;61806;RUA;SANTO ANTONIO DO MONTE                            ;NI ;N?O INFORMADO                                     ;778;SANTO ANTONIO                                     ;B ;BAIRRO                        ;0;0
2020-035616225-001;24/07/2020 13:00;1;BELO HORIZONTE                ;2;61806;RUA;SANTO ANTONIO DO MONTE                            ;NI ;N?O INFORMADO                                     ;778;SANTO ANTONIO                                     ;B ;BAIRRO                        ;0;0
2020-030816877-001;27/06/2020 11:50;1;BELO HORIZONTE                ;2;61850;RUA;SANTO IDELFONSO                                   ;NI ;N?O INFORMADO                                     ;821;APARECIDA SETIMA SECAO                            ;B ;BAIRRO                        ;0;0
2020-045289590-001;18/09/2020 15:30;1;BELO HORIZONTE                ;2;61850;RUA;SANTO IDELFONSO                                   ;NI ;N?O INFORMADO                                     ;821;APARECIDA SETIMA SECAO                            ;B ;BAIRRO                        ;0;0
2020-058196002-001;03/12/2020 13:07;1;BELO HORIZONTE                ;1;61910;RUA;SANTOS                                            ;NI ;N?O INFORMADO                                     ;702;JARDIM AMERICA                                    ;B ;BAIRRO                        ;0;0
2020-003433471-001;21/01/2020 08:21;1;BELO HORIZONTE                ;2;61910;RUA;SANTOS                                            ;NI ;N?O INFORMADO                                     ;702;JARDIM AMERICA                                    ;B ;BAIRRO                        ;0;0
2020-010079850-001;26/02/2020 12:07;1;BELO HORIZONTE                ;2;60210;RUA;SANDALO                                           ;NI ;N?O INFORMADO                                     ;1141;ARAGUAIA                                          ;B ;BAIRRO                        ;0;0
2020-035788911-001;25/07/2020 16:00;1;BELO HORIZONTE                ;1;60210;RUA;SANDALO                                           ;NI ;N?O INFORMADO                                     ;1141;ARAGUAIA                                          ;B ;BAIRRO                        ;0;0
2020-021952590-001;08/05/2020 16:48;1;BELO HORIZONTE                ;2;60251;RUA;SUSANA MARIA                                      ;NI ;N?O INFORMADO                                     ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2021-006949571-001;18/07/2020 12:00;1;BELO HORIZONTE                ;1;60311;RUA;SANTA ALIANCA                                     ;NI ;N?O INFORMADO                                     ;789;SAO MARCOS                                        ;B ;BAIRRO                        ;101;0
2020-052284838-001;20/10/2020 11:30;1;BELO HORIZONTE                ;2;60365;RUA;SANTA BARBARA                                     ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-058172320-001;03/12/2020 10:50;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
2020-057321442-001;28/11/2020 10:14;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;715;LOURDES                                           ;B ;BAIRRO                        ;0;0
2020-010261366-001;27/02/2020 13:05;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;715;LOURDES                                           ;B ;BAIRRO                        ;0;0
2020-007946575-001;14/02/2020 21:05;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
2020-001454799-001;09/01/2020 18:48;1;BELO HORIZONTE                ;1;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
2020-014103534-002;19/03/2020 18:41;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
2020-034107134-001;16/07/2020 10:15;1;BELO HORIZONTE                ;1;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;715;LOURDES                                           ;B ;BAIRRO                        ;0;0
2020-023600925-001;18/05/2020 12:09;1;BELO HORIZONTE                ;1;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;715;LOURDES                                           ;B ;BAIRRO                        ;0;0
2020-048979324-001;09/10/2020 18:30;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;715;LOURDES                                           ;B ;BAIRRO                        ;0;0
2020-046846468-001;27/09/2020 16:30;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
2020-017423787-001;11/04/2020 16:28;1;BELO HORIZONTE                ;1;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;201;0
2020-054808142-001;13/11/2020 11:20;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;715;LOURDES                                           ;B ;BAIRRO                        ;0;0
2020-037426837-001;04/08/2020 17:14;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;715;LOURDES                                           ;B ;BAIRRO                        ;0;0
2020-054046445-001;09/11/2020 07:34;1;BELO HORIZONTE                ;1;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;715;LOURDES                                           ;B ;BAIRRO                        ;996;0
2020-053901622-001;08/11/2020 03:00;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
2020-026537368-001;04/06/2020 09:16;1;BELO HORIZONTE                ;2;60400;RUA;SANTA CATARINA                                    ;NI ;N?O INFORMADO                                     ;715;LOURDES                                           ;B ;BAIRRO                        ;0;0
2020-033395127-001;12/07/2020 10:09;1;BELO HORIZONTE                ;1;60438;RUA;SANTA CLARA                                       ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;0;0
2020-006059539-001;03/02/2020 07:10;1;BELO HORIZONTE                ;2;60494;RUA;SANTA CRUZ DO ESCALVADO                           ;NI ;N?O INFORMADO                                     ;1493;JARDIM LEBLON                                     ;B ;BAIRRO                        ;0;0
2020-024523918-001;23/05/2020 12:04;1;BELO HORIZONTE                ;2;60494;RUA;SANTA CRUZ DO ESCALVADO                           ;NI ;N?O INFORMADO                                     ;643;CEU AZUL                                          ;B ;BAIRRO                        ;0;0
2021-002319565-001;09/10/2020 09:30;1;BELO HORIZONTE                ;1;60539;RUA;SANTA EFIGENIA                                    ;NI ;N?O INFORMADO                                     ;789;SAO MARCOS                                        ;B ;BAIRRO                        ;42;0
2020-049497388-001;13/10/2020 08:59;1;BELO HORIZONTE                ;2;60539;RUA;SANTA EFIGENIA                                    ;NI ;N?O INFORMADO                                     ;789;SAO MARCOS                                        ;B ;BAIRRO                        ;0;0
2020-039149025-001;14/08/2020 14:41;1;BELO HORIZONTE                ;1;60541;RUA;PLOTINO                                           ;RUA;SANTA EFIGENIA                                    ;1240;NAZARE                                            ;B ;BAIRRO                        ;0;0
2020-059015074-001;08/12/2020 11:03;1;BELO HORIZONTE                ;1;60595;RUA;PORTO SEGURO                                      ;RUA;SANTA FILOMENA                                    ;735;NOVA VISTA                                        ;B ;BAIRRO                        ;112;0
2020-044917611-001;16/09/2020 15:09;1;BELO HORIZONTE                ;2;60595;RUA;PORTO SEGURO                                      ;RUA;SANTA FILOMENA                                    ;735;NOVA VISTA                                        ;B ;BAIRRO                        ;0;0
2020-043002621-001;05/09/2020 17:19;1;BELO HORIZONTE                ;2;60595;RUA;PORTO SEGURO                                      ;RUA;SANTA FILOMENA                                    ;735;NOVA VISTA                                        ;B ;BAIRRO                        ;0;0
2020-049872336-001;21/06/2020 22:30;1;BELO HORIZONTE                ;1;60595;RUA;PORTO SEGURO                                      ;RUA;SANTA FILOMENA                                    ;735;NOVA VISTA                                        ;B ;BAIRRO                        ;10;0
2020-042480414-001;02/09/2020 17:52;1;BELO HORIZONTE                ;2;60595;RUA;PORTO SEGURO                                      ;RUA;SANTA FILOMENA                                    ;735;NOVA VISTA                                        ;B ;BAIRRO                        ;0;0
2020-048845182-001;09/10/2020 00:15;1;BELO HORIZONTE                ;1;60595;RUA;PORTO SEGURO                                      ;RUA;SANTA FILOMENA                                    ;735;NOVA VISTA                                        ;B ;BAIRRO                        ;835;0
2020-029728991-001;21/06/2020 14:11;1;BELO HORIZONTE                ;2;60595;RUA;PORTO SEGURO                                      ;RUA;SANTA FILOMENA                                    ;735;NOVA VISTA                                        ;B ;BAIRRO                        ;0;0
2020-028903965-001;16/06/2020 22:51;1;BELO HORIZONTE                ;2;60595;RUA;PORTO SEGURO                                      ;RUA;SANTA FILOMENA                                    ;735;NOVA VISTA                                        ;B ;BAIRRO                        ;0;0
2020-027897759-001;11/06/2020 15:28;1;BELO HORIZONTE                ;1;60595;RUA;PORTO SEGURO                                      ;RUA;SANTA FILOMENA                                    ;735;NOVA VISTA                                        ;B ;BAIRRO                        ;661;0
2020-037384010-001;04/08/2020 14:25;1;BELO HORIZONTE                ;1;60595;RUA;PORTO SEGURO                                      ;RUA;SANTA FILOMENA                                    ;735;NOVA VISTA                                        ;B ;BAIRRO                        ;365;0
2020-048385401-001;06/10/2020 01:00;1;BELO HORIZONTE                ;2;60614;RUA;MATO VERDE                                        ;RUA;QUATRO                                            ;773;SANTA ROSA                                        ;B ;BAIRRO                        ;0;0
2020-058420140-001;03/12/2020 17:00;1;BELO HORIZONTE                ;2;60803;RUA;SANTA JOSEFINA                                    ;NI ;N?O INFORMADO                                     ;665;ERMELINDA                                         ;B ;BAIRRO                        ;0;0
2020-005166661-001;30/01/2020 15:51;1;BELO HORIZONTE                ;1;60803;RUA;SANTA JOSEFINA                                    ;NI ;N?O INFORMADO                                     ;1473;VILA SUMARE                                       ;V ;VILA                          ;835;0
2020-033621812-003;13/07/2020 15:45;1;BELO HORIZONTE                ;1;60803;RUA;SANTA JOSEFINA                                    ;NI ;N?O INFORMADO                                     ;665;ERMELINDA                                         ;B ;BAIRRO                        ;670;0
2020-061872663-001;24/12/2020 23:40;1;BELO HORIZONTE                ;1;60816;RUA;SANTA JUDITE                                      ;NI ;N?O INFORMADO                                     ;821;APARECIDA SETIMA SECAO                            ;B ;BAIRRO                        ;0;0
2020-020947534-001;02/05/2020 19:45;1;BELO HORIZONTE                ;1;60816;RUA;SANTA JUDITE                                      ;NI ;N?O INFORMADO                                     ;821;APARECIDA SETIMA SECAO                            ;B ;BAIRRO                        ;604;0
2020-024168384-001;21/05/2020 12:24;1;BELO HORIZONTE                ;2;60857;RUA;SANTA LUZIA                                       ;NI ;N?O INFORMADO                                     ;765;SANTA EFIGENIA                                    ;B ;BAIRRO                        ;0;0
2020-041941898-001;30/08/2020 17:09;1;BELO HORIZONTE                ;1;60860;RUA;OLIVEIRA FORTES                                   ;RUA;SANTA LUZIA                                       ;756;PROVIDENCIA                                       ;B ;BAIRRO                        ;195;0
