;Nº_boletim;data_boletim; Nº_municipio;nome_municipio;seq_logradouros;Nº_logradouro;tipo_logradouro;nome_logradouro;tipo_logradouro_anterior;nome_logradouro_anterior;Nº_bairro;nome_bairro;tipo_bairro;descricao_tipo_bairro;Nº_imovel;Nº_imovel_proximo
4075;2020-034363300-001;17/07/2020 15:59;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;793;SAO SALVADOR                                      ;B ;BAIRRO                        ;0;0
4076;2020-023089988-001;15/05/2020 09:24;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;793;SAO SALVADOR                                      ;B ;BAIRRO                        ;0;0
4077;2020-049717552-001;14/10/2020 12:32;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;793;SAO SALVADOR                                      ;B ;BAIRRO                        ;3841;0
4078;2020-022923085-001;14/05/2020 10:58;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;658;DOM BOSCO                                         ;B ;BAIRRO                        ;215;0
4079;2020-022873201-001;13/05/2020 23:55;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;602;ALIPIO DE MELO                                    ;B ;BAIRRO                        ;2174;0
4080;2020-022800723-001;07/05/2020 07:50;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;602;ALIPIO DE MELO                                    ;B ;BAIRRO                        ;1772;0
4081;2020-049388337-001;12/10/2020 15:58;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;602;ALIPIO DE MELO                                    ;B ;BAIRRO                        ;1904;0
4082;2020-033167926-001;10/07/2020 20:35;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;693;INCONFIDENCIA                                     ;B ;BAIRRO                        ;420;0
4083;2020-021598882-001;06/05/2020 18:15;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;602;ALIPIO DE MELO                                    ;B ;BAIRRO                        ;2174;0
4084;2020-041657807-001;28/08/2020 18:36;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;693;INCONFIDENCIA                                     ;B ;BAIRRO                        ;420;0
4085;2020-048363680-001;06/10/2020 12:58;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;602;ALIPIO DE MELO                                    ;B ;BAIRRO                        ;0;0
4086;2020-031911235-002;03/07/2020 17:52;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;602;ALIPIO DE MELO                                    ;B ;BAIRRO                        ;1688;0
4087;2020-020312972-001;29/04/2020 11:35;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;658;DOM BOSCO                                         ;B ;BAIRRO                        ;355;0
4088;2020-030872530-001;27/06/2020 18:37;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;684;GLORIA                                            ;B ;BAIRRO                        ;1871;0
4089;2020-030612835-001;26/06/2020 09:38;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;793;SAO SALVADOR                                      ;B ;BAIRRO                        ;4000;0
4090;2020-019568479-001;24/04/2020 17:47;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;684;GLORIA                                            ;B ;BAIRRO                        ;1499;0
4091;2020-047173435-001;29/09/2020 13:36;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;602;ALIPIO DE MELO                                    ;B ;BAIRRO                        ;14522;0
4092;2020-046887990-001;27/09/2020 21:17;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;684;GLORIA                                            ;B ;BAIRRO                        ;1819;0
4093;2020-039566645-001;17/08/2020 08:37;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;684;GLORIA                                            ;B ;BAIRRO                        ;0;0
4094;2020-030266130-001;24/06/2020 11:10;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;793;SAO SALVADOR                                      ;B ;BAIRRO                        ;3791;0
4095;2020-029210370-001;18/06/2020 13:48;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;793;SAO SALVADOR                                      ;B ;BAIRRO                        ;3859;0
4096;2020-055347750-001;16/11/2020 17:02;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;793;SAO SALVADOR                                      ;B ;BAIRRO                        ;0;0
4097;2020-028317841-001;13/06/2020 18:42;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;658;DOM BOSCO                                         ;B ;BAIRRO                        ;183;0
4098;2020-028171528-002;12/06/2020 21:40;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;658;DOM BOSCO                                         ;B ;BAIRRO                        ;0;0
4099;2020-054985948-002;14/11/2020 14:06;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;793;SAO SALVADOR                                      ;B ;BAIRRO                        ;0;0
4100;2020-054678345-001;12/11/2020 15:50;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;684;GLORIA                                            ;B ;BAIRRO                        ;1665;0
4101;2020-027678490-001;16/03/2020 06:40;1;BELO HORIZONTE                ;2;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;684;GLORIA                                            ;B ;BAIRRO                        ;0;0
4102;2020-027377022-001;08/06/2020 23:29;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;793;SAO SALVADOR                                      ;B ;BAIRRO                        ;3703;0
4103;2020-054233254-001;10/11/2020 06:56;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;793;SAO SALVADOR                                      ;B ;BAIRRO                        ;0;0
4104;2020-054059983-001;08/10/2020 07:00;1;BELO HORIZONTE                ;1;634;AVE;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;693;INCONFIDENCIA                                     ;B ;BAIRRO                        ;330;0
4105;2020-039303778-001;15/08/2020 13:20;1;BELO HORIZONTE                ;1;647;RUA;ABILIO MACHADO                                    ;NI ;N?O INFORMADO                                     ;760;SAGRADA FAMILIA                                   ;B ;BAIRRO                        ;95;0
4106;2020-002964492-001;17/01/2020 20:15;1;BELO HORIZONTE                ;1;690;RUA;ABRE CAMPO                                        ;NI ;N?O INFORMADO                                     ;778;SANTO ANTONIO                                     ;B ;BAIRRO                        ;0;0
4107;2020-004213488-001;25/01/2020 14:45;1;BELO HORIZONTE                ;2;1186;RUA;DOS AEROVIARIOS                                   ;RUA;DOIS                                              ;830;AEROPORTO                                         ;B ;BAIRRO                        ;0;0
4108;2020-001890049-001;12/01/2020 14:20;1;BELO HORIZONTE                ;1;1186;RUA;DOS AEROVIARIOS                                   ;RUA;DOIS                                              ;830;AEROPORTO                                         ;B ;BAIRRO                        ;0;0
4109;2020-004703380-001;28/01/2020 11:38;1;BELO HORIZONTE                ;1;1218;RUA;AFONSO CELSO                                      ;RUA;CINQUENTA                                         ;772;SANTA MONICA                                      ;B ;BAIRRO                        ;0;0
4110;2020-043815136-001;10/09/2020 12:44;1;BELO HORIZONTE                ;2;1218;RUA;AFONSO CELSO                                      ;RUA;CINQUENTA                                         ;772;SANTA MONICA                                      ;B ;BAIRRO                        ;0;0
4111;2020-012048278-002;08/03/2020 17:40;1;BELO HORIZONTE                ;2;1246;RUA;AFONSO DE CARVALHO                                ;RUA;AFONSO CARVALHO                                   ;809;UNIVERSITARIO                                     ;B ;BAIRRO                        ;0;0
4112;2020-062771475-001;31/12/2020 12:19;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4113;2020-062054103-001;26/12/2020 20:32;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4114;2020-061618940-001;21/12/2020 10:00;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;657;CRUZEIRO                                          ;B ;BAIRRO                        ;3690;0
4115;2020-061307402-001;21/12/2020 21:24;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4116;2020-061262278-001;21/12/2020 16:03;1;BELO HORIZONTE                ;2;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;765;SANTA EFIGENIA                                    ;B ;BAIRRO                        ;0;0
4117;2020-061216357-001;21/12/2020 12:55;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4118;2020-061109781-002;20/12/2020 19:04;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;0;0
4119;2020-060456432-001;16/12/2020 16:34;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;0;0
4120;2020-060315010-001;15/12/2020 20:49;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;0;0
4121;2020-060108071-001;13/12/2020 14:00;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;797;SERRA                                             ;B ;BAIRRO                        ;3573;0
4122;2020-060050981-002;14/12/2020 13:33;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1212;0
4123;2020-059685174-001;11/12/2020 23:56;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;1156;BOA VIAGEM                                        ;B ;BAIRRO                        ;0;0
4124;2020-059190422-001;09/12/2020 10:47;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4125;2020-058844067-001;07/12/2020 11:37;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;0;0
4126;2020-058810742-001;07/12/2020 07:01;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;657;CRUZEIRO                                          ;B ;BAIRRO                        ;0;0
4127;2020-058659244-001;06/12/2020 01:58;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;1133;SAVASSI                                           ;B ;BAIRRO                        ;0;0
4128;2020-058383439-001;04/12/2020 13:03;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4129;2020-058166937-001;03/12/2020 10:23;1;BELO HORIZONTE                ;2;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4130;2020-058125510-001;03/12/2020 01:06;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;550;0
4131;2020-057534695-001;29/11/2020 20:14;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;797;SERRA                                             ;B ;BAIRRO                        ;0;0
4132;2020-057246242-001;27/11/2020 19:21;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;726;0
4133;2020-056707698-001;24/11/2020 19:38;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;994;0
4134;2020-056702760-001;24/11/2020 18:52;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4135;2020-056589105-001;24/11/2020 07:38;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4136;2020-056588925-001;24/11/2020 08:37;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4137;2020-056379988-001;23/11/2020 00:03;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;367;0
4138;2020-012578404-001;11/03/2020 12:29;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;797;SERRA                                             ;B ;BAIRRO                        ;4001;0
4139;2020-012135366-001;09/03/2020 08:31;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1500;0
4140;2020-011980010-001;08/03/2020 05:22;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1500;0
4141;2020-011946015-001;07/03/2020 23:02;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;387;0
4142;2020-005318183-001;31/01/2020 13:38;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4143;2020-004763931-001;28/01/2020 16:33;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;549;0
4144;2020-011672854-001;06/03/2020 11:15;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;254;0
4145;2020-011562984-001;05/03/2020 18:21;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1500;0
4146;2020-011533287-001;05/03/2020 15:25;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1537;0
4147;2020-011452196-001;05/03/2020 07:15;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;2239;0
4148;2020-011248771-001;04/03/2020 05:41;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4149;2020-011220683-002;03/03/2020 22:04;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;561;0
4150;2020-011159719-001;03/03/2020 16:17;1;BELO HORIZONTE                ;2;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4151;2020-011001117-001;02/03/2020 19:20;1;BELO HORIZONTE                ;2;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;0;0
4152;2020-010899984-001;02/03/2020 10:20;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4153;2020-010444556-002;28/02/2020 11:51;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1015;0
4154;2020-010340382-001;27/02/2020 18:28;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;367;0
4155;2020-008944310-001;20/02/2020 08:30;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4156;2020-002880614-001;17/01/2020 17:36;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;0;0
4157;2020-008680747-001;18/02/2020 21:32;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4158;2020-008034241-001;15/02/2020 12:12;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1394;0
4159;2020-007939833-001;14/02/2020 20:09;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;333;0
4160;2020-007174650-001;11/02/2020 00:06;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1394;0
4161;2020-000984720-001;07/01/2020 10:05;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4162;2020-007051752-001;10/02/2020 12:52;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;774;0
4163;2020-006999187-001;10/02/2020 08:55;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;744;0
4164;2020-006922629-001;09/02/2020 18:46;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;60;0
4165;2020-006631317-001;07/02/2020 19:59;1;BELO HORIZONTE                ;3;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;797;SERRA                                             ;B ;BAIRRO                        ;0;0
4166;2020-000236442-001;02/01/2020 16:29;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;952;0
4167;2020-000102335-001;01/01/2020 20:26;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;1156;BOA VIAGEM                                        ;B ;BAIRRO                        ;1626;0
4168;2020-015859688-001;01/04/2020 15:39;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4169;2020-013954921-001;18/03/2020 20:35;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4170;2020-013950516-001;18/03/2020 19:41;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4171;2020-013943596-001;18/03/2020 19:10;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1580;0
4172;2020-013714576-001;17/03/2020 15:01;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;658;0
4173;2020-013166900-001;14/03/2020 11:17;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;1133;SAVASSI                                           ;B ;BAIRRO                        ;2700;0
4174;2020-013134854-001;14/03/2020 04:16;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;0;0
4175;2020-013036283-001;11/03/2020 15:00;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;509;0
4176;2020-006252480-001;05/02/2020 18:57;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1300;0
4177;2020-052532947-002;30/10/2020 19:13;1;BELO HORIZONTE                ;2;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;1156;BOA VIAGEM                                        ;B ;BAIRRO                        ;0;0
4178;2020-052435405-001;30/10/2020 07:40;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;590;0
4179;2020-052097559-001;28/10/2020 11:21;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;908;0
4180;2020-044753183-001;15/09/2020 18:13;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;0;0
4181;2020-044321232-001;13/09/2020 12:37;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;1727;0
4182;2020-044274055-001;12/09/2020 23:18;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4183;2020-035833570-001;26/07/2020 09:25;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4184;2020-025006117-001;26/05/2020 12:18;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1420;0
4185;2020-043809665-001;10/09/2020 09:00;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;262;0
4186;2020-035205966-001;15/05/2020 19:30;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;1967;0
4187;2020-035004012-001;21/07/2020 14:11;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;1156;BOA VIAGEM                                        ;B ;BAIRRO                        ;0;0
4188;2020-024196983-002;21/05/2020 14:51;1;BELO HORIZONTE                ;2;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4189;2020-050584494-001;19/10/2020 14:40;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4190;2020-050240153-001;17/10/2020 10:05;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;578;0
4191;2020-043380309-001;08/09/2020 07:47;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4192;2020-043137079-001;06/09/2020 15:32;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1534;0
4193;2020-034182542-001;16/07/2020 17:24;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1170;0
4194;2020-049575800-001;13/10/2020 16:21;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4195;2020-042660429-001;03/09/2020 16:51;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4196;2020-042309731-001;01/09/2020 15:38;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;0;0
4197;2020-022774777-001;13/05/2020 13:59;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;550;0
4198;2020-049053157-001;10/10/2020 05:21;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1580;0
4199;2020-048993776-001;09/10/2020 20:07;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;642;CENTRO                                            ;B ;BAIRRO                        ;1270;0
4200;2020-048955040-001;09/10/2020 16:08;1;BELO HORIZONTE                ;1;1259;AVE;AFONSO PENA                                       ;NI ;N?O INFORMADO                                     ;681;FUNCIONARIOS                                      ;B ;BAIRRO                        ;2323;0
